problema,algoritmo,run,f1,f2,f3
Truss2D,NSGA-II,0,0.05316744494696554,8432.740431967613,
Truss2D,NSGA-II,0,0.004040166009964669,99997.03407170752,
Truss2D,NSGA-II,0,0.023997050338496695,16712.174490150268,
Truss2D,NSGA-II,0,0.05018387859995089,8534.919995428423,
Truss2D,NSGA-II,0,0.04656572541138605,8809.55066676149,
Truss2D,NSGA-II,0,0.0061045272799797965,66029.4096564846,
Truss2D,NSGA-II,0,0.019849995494551555,20578.877213824875,
Truss2D,NSGA-II,0,0.005964639672499874,68193.20910708197,
Truss2D,NSGA-II,0,0.007123454926687629,56603.282953169466,
Truss2D,NSGA-II,0,0.004867409045657972,83009.79247273644,
Truss2D,NSGA-II,0,0.02522236121754103,16141.443081265303,
Truss2D,NSGA-II,0,0.0056584785981711235,71652.26532785005,
Truss2D,NSGA-II,0,0.04844536670633863,8604.184230019808,
Truss2D,NSGA-II,0,0.0076066772043923,53987.36453764067,
Truss2D,NSGA-II,0,0.03589033390164717,11184.863310303308,
Truss2D,NSGA-II,0,0.017360919238740856,23643.995578250036,
Truss2D,NSGA-II,0,0.010334581022465004,38837.17307347021,
Truss2D,NSGA-II,0,0.012735365967250434,31608.973453933944,
Truss2D,NSGA-II,0,0.006373933920639636,64394.30026267437,
Truss2D,NSGA-II,0,0.00690582028831326,58811.14920786587,
Truss2D,NSGA-II,0,0.05176101288556734,8432.740477543673,
Truss2D,NSGA-II,0,0.04328224784837415,9265.80248501672,
Truss2D,NSGA-II,0,0.012427344861817489,32916.908261333476,
Truss2D,NSGA-II,0,0.040691672904202926,9929.330687455089,
Truss2D,NSGA-II,0,0.010198407602049282,40814.748919399666,
Truss2D,NSGA-II,0,0.004371543236265774,91662.2687279702,
Truss2D,NSGA-II,0,0.011970676220075728,34128.479915590215,
Truss2D,NSGA-II,0,0.026291940744318,15272.224925504086,
Truss2D,NSGA-II,0,0.007774991871227837,51878.17644205323,
Truss2D,NSGA-II,0,0.004544058776593496,89065.14167927906,
Truss2D,NSGA-II,0,0.008727780374056977,46852.84671894094,
Truss2D,NSGA-II,0,0.01891655767335923,21401.27935277538,
Truss2D,NSGA-II,0,0.008115281979021066,49753.80344442057,
Truss2D,NSGA-II,0,0.008908566241971581,45556.05679577827,
Truss2D,NSGA-II,0,0.0067255529019576476,59832.1738982114,
Truss2D,NSGA-II,0,0.01333631875464887,30582.142929116762,
Truss2D,NSGA-II,0,0.007334639116926443,55223.88698991744,
Truss2D,NSGA-II,0,0.03338343974316826,12276.47103577129,
Truss2D,NSGA-II,0,0.04222910131576968,9495.326336000775,
Truss2D,NSGA-II,0,0.004190496753549336,95973.84500709175,
Truss2D,NSGA-II,0,0.023224674485190257,17589.62733599927,
Truss2D,NSGA-II,0,0.004804918071415495,84751.94809961204,
Truss2D,NSGA-II,0,0.013726976153228656,29921.767080629288,
Truss2D,NSGA-II,0,0.029302028379482183,13702.805766871335,
Truss2D,NSGA-II,0,0.038160543121945306,10712.284676495196,
Truss2D,NSGA-II,0,0.03473807857726489,11592.416685358356,
Truss2D,NSGA-II,0,0.006658973068615005,61888.78748836207,
Truss2D,NSGA-II,0,0.01640748674477884,25062.481980701108,
Truss2D,NSGA-II,0,0.027325889451020068,14817.66775031953,
Truss2D,NSGA-II,0,0.021424995567740086,19390.211936916803,
Truss2D,NSGA-II,0,0.005495222188102791,73638.01206893446,
Truss2D,NSGA-II,0,0.018043183724193296,22216.35543323125,
Truss2D,NSGA-II,0,0.004657210708515296,87085.41018199164,
Truss2D,NSGA-II,0,0.03440505455135713,11766.541872599058,
Truss2D,NSGA-II,0,0.01418569925158205,28762.130017645486,
Truss2D,NSGA-II,0,0.00406626710408463,98709.89687293983,
Truss2D,NSGA-II,0,0.011508351311459192,34963.209302580275,
Truss2D,NSGA-II,0,0.00498981748377463,80728.28894132913,
Truss2D,NSGA-II,0,0.010670340432152783,37618.88389476712,
Truss2D,NSGA-II,0,0.01569419452297842,26187.804656922304,
Truss2D,NSGA-II,0,0.04049350020720767,10146.042655824758,
