problema,algoritmo,run,seed,f1,f2,f3
Carside,R-NSGA-II_eps0.01,0,42,27.907965072503266,3.8523999032867255,11.527256152332797
Carside,R-NSGA-II_eps0.01,0,42,27.932478955043354,3.851576073586437,11.525476429013528
Carside,R-NSGA-II_eps0.01,0,42,27.917377816913977,3.85184162611946,11.525924371997903
Carside,R-NSGA-II_eps0.01,0,42,27.91449437207437,3.852336344725061,11.524121017732838
Carside,R-NSGA-II_eps0.01,0,42,27.901309199559297,3.852779763153593,11.524619302361858
Carside,R-NSGA-II_eps0.01,0,42,27.922409199791538,3.851391986418002,11.528867054587895
Carside,R-NSGA-II_eps0.01,0,42,27.88962774931788,3.852835915574622,11.525497210580923
Carside,R-NSGA-II_eps0.01,0,42,27.94777457807409,3.8506742914419196,11.528197964620212
Carside,R-NSGA-II_eps0.01,0,42,27.922110268068142,3.8523980884753946,11.522489139539822
Carside,R-NSGA-II_eps0.01,0,42,27.886865697434974,3.854946125009372,11.522670740761997
Carside,R-NSGA-II_eps0.01,0,42,27.87633695813719,3.853498682597108,11.52549737612113
Carside,R-NSGA-II_eps0.01,0,42,27.89424226795192,3.8530766507209946,11.522695474573252
Carside,R-NSGA-II_eps0.01,0,42,27.868240273888503,3.853879743994066,11.527076565495072
Carside,R-NSGA-II_eps0.01,0,42,27.881398808548568,3.8534980221648945,11.523213927876625
Carside,R-NSGA-II_eps0.01,0,42,27.88537315521846,3.8524225408087927,11.530165025765067
Carside,R-NSGA-II_eps0.01,0,42,27.866552314540087,3.8560515538074496,11.52500022527099
Carside,R-NSGA-II_eps0.01,0,42,27.907184949165963,3.854469814262038,11.520331891692333
Carside,R-NSGA-II_eps0.01,0,42,27.905230640595928,3.852899842699601,11.521092364814693
Carside,R-NSGA-II_eps0.01,0,42,27.944283748332204,3.851580476957382,11.521216559312755
Carside,R-NSGA-II_eps0.01,0,42,27.86082585199335,3.856217674302558,11.527166819695692
Carside,R-NSGA-II_eps0.01,0,42,27.8982293359789,3.8522437873767768,11.53221294881088
Carside,R-NSGA-II_eps0.01,0,42,27.89207467209933,3.853602167150532,11.521281774077938
Carside,R-NSGA-II_eps0.01,0,42,27.892100774396066,3.854841350035583,11.520584376465493
Carside,R-NSGA-II_eps0.01,0,42,27.882100775390974,3.856142723582803,11.521344616254714
Carside,R-NSGA-II_eps0.01,0,42,27.869470858530335,3.8531307069368337,11.529755867519796
Carside,R-NSGA-II_eps0.01,0,42,27.863422130662755,3.854876857719965,11.529970116628546
Carside,R-NSGA-II_eps0.01,0,42,27.870866555629306,3.85579679343303,11.522578169506144
Carside,R-NSGA-II_eps0.01,0,42,27.90704518101685,3.852637629121635,11.524310093916156
Carside,R-NSGA-II_eps0.01,0,42,27.983947866810958,3.8500610507386774,11.525851637866523
Carside,R-NSGA-II_eps0.01,0,42,27.908501270273007,3.8523447652385587,11.524649182027048
Carside,R-NSGA-II_eps0.01,0,42,27.919381993143617,3.852732329327994,11.519946038914025
Carside,R-NSGA-II_eps0.01,0,42,27.90591865271995,3.8526301420083358,11.524383714622282
Carside,R-NSGA-II_eps0.01,0,42,27.901996957843714,3.8527877471017553,11.524603660247385
Carside,R-NSGA-II_eps0.01,0,42,27.90285296887436,3.8526979147069125,11.524627405847353
Carside,R-NSGA-II_eps0.01,0,42,27.904137132632464,3.852681527466657,11.524471971599294
Carside,R-NSGA-II_eps0.01,0,42,27.904645408942752,3.852674652086972,11.52439330310023
Carside,R-NSGA-II_eps0.01,0,42,27.904705753277415,3.8526733803201583,11.524386405563142
Carside,R-NSGA-II_eps0.01,0,42,27.902900089711938,3.852695092579926,11.52458786817116
Carside,R-NSGA-II_eps0.01,0,42,27.904287392483806,3.8526793713519467,11.524418085166015
Carside,R-NSGA-II_eps0.01,0,42,27.900771889038797,3.8560215826465933,11.51887974772482
Carside,R-NSGA-II_eps0.01,0,42,27.85733264245597,3.856719481400543,11.523032431687664
Carside,R-NSGA-II_eps0.01,0,42,27.90131409316148,3.852770513750634,11.524612390161767
Carside,R-NSGA-II_eps0.01,0,42,27.90215562183025,3.852740015554618,11.52452867548152
Carside,R-NSGA-II_eps0.01,0,42,27.86366270212143,3.858012071969704,11.52269697509313
Carside,R-NSGA-II_eps0.01,0,42,27.900793538305617,3.8528133571402434,11.524367866138714
Carside,R-NSGA-II_eps0.01,0,42,27.883728587054176,3.8557562708280284,11.519579172900533
Carside,R-NSGA-II_eps0.01,0,42,27.895455524026403,3.8526600961822997,11.525638220003199
Carside,R-NSGA-II_eps0.01,0,42,27.913588716591736,3.8532591690869817,11.51856423359115
Carside,R-NSGA-II_eps0.01,0,42,27.89596755609466,3.8528327788990824,11.524837073593112
Carside,R-NSGA-II_eps0.01,0,42,27.898447389919603,3.852849293816611,11.524009435534753
Carside,R-NSGA-II_eps0.01,0,42,27.961943436306907,3.8515036630177137,11.519031363998174
Carside,R-NSGA-II_eps0.01,0,42,27.896309625144823,3.8525667474328085,11.524780661754637
Carside,R-NSGA-II_eps0.01,0,42,27.90839101868089,3.8546910466463515,11.517797881087679
Carside,R-NSGA-II_eps0.01,0,42,27.910119934754483,3.8526733803201583,11.52299735201084
Carside,R-NSGA-II_eps0.01,0,42,27.910215489069756,3.8526614658170066,11.52299735201084
Carside,R-NSGA-II_eps0.01,0,42,27.847948162994136,3.858010261736355,11.523994525889673
Carside,R-NSGA-II_eps0.01,0,42,27.843131590344484,3.8553526606655337,11.530378613254388
Carside,R-NSGA-II_eps0.01,0,42,27.850456659403665,3.853399587990751,11.531203287644
Carside,R-NSGA-II_eps0.01,0,42,27.88604577888395,3.853021115324106,11.525790502072157
Carside,R-NSGA-II_eps0.01,0,42,27.878230131847555,3.8571669702515288,11.51906035249382
Carside,R-NSGA-II_eps0.01,0,42,27.883360268977103,3.8531861403759198,11.526622064117717
Carside,R-NSGA-II_eps0.01,0,42,27.86702997165848,3.8528327210424447,11.533614053507735
Carside,R-NSGA-II_eps0.01,0,42,27.931596308200824,3.8532139101185834,11.517190818857596
Carside,R-NSGA-II_eps0.01,0,42,27.8936406744194,3.8531417124770018,11.523816403570116
Carside,R-NSGA-II_eps0.01,0,42,27.887793293125036,3.8527702867313,11.525755290629425
Carside,R-NSGA-II_eps0.01,0,42,27.92156861593913,3.8544472117858986,11.516846393870058
Carside,R-NSGA-II_eps0.01,0,42,27.88867695778956,3.852988559705901,11.52475039414265
Carside,R-NSGA-II_eps0.01,0,42,27.8861442666778,3.853029048696558,11.52515068532736
Carside,R-NSGA-II_eps0.01,0,42,27.88514153988084,3.853333217350842,11.524793540434466
Carside,R-NSGA-II_eps0.01,0,42,27.88498461880076,3.858549252271797,11.518602840387505
Carside,R-NSGA-II_eps0.01,0,42,27.883349555884887,3.8534180698876197,11.524799216637604
Carside,R-NSGA-II_eps0.01,0,42,28.004114056397096,3.8499030413741258,11.521308352780055
Carside,R-NSGA-II_eps0.01,0,42,27.890304325012046,3.8530043162861896,11.523881178285784
Carside,R-NSGA-II_eps0.01,0,42,27.890386095023032,3.8529912776889423,11.523852321798845
Carside,R-NSGA-II_eps0.01,0,42,27.943631279351596,3.855408653355156,11.515912318291134
Carside,R-NSGA-II_eps0.01,0,42,27.881165236883298,3.8533159669919974,11.524814201477756
Carside,R-NSGA-II_eps0.01,0,42,27.92576232418539,3.8552962766126253,11.515919303127752
Carside,R-NSGA-II_eps0.01,0,42,27.940093708668087,3.852259337774334,11.516629341016989
Carside,R-NSGA-II_eps0.01,0,42,27.887622610066284,3.8531865592194356,11.523164466785396
Carside,R-NSGA-II_eps0.01,0,42,27.979902467386204,3.851460050216322,11.517658644206147
Carside,R-NSGA-II_eps0.01,0,42,27.922384250605162,3.852618320517985,11.52119850587891
Carside,R-NSGA-II_eps0.01,0,42,27.886225308301967,3.8536032689867565,11.522771416598086
Carside,R-NSGA-II_eps0.01,0,42,27.947180369702348,3.853189247745765,11.51584050603846
Carside,R-NSGA-II_eps0.01,0,42,27.880298213133678,3.8549053887657845,11.522677821202288
Carside,R-NSGA-II_eps0.01,0,42,27.970175952083885,3.8546462307419693,11.515353460325006
Carside,R-NSGA-II_eps0.01,0,42,27.9701961631737,3.851822017207013,11.515847839438734
Carside,R-NSGA-II_eps0.01,0,42,28.038825677815662,3.8505582682677377,11.5172812737777
Carside,R-NSGA-II_eps0.01,0,42,27.87993268865576,3.8549115772045566,11.522687684538965
Carside,R-NSGA-II_eps0.01,0,42,28.004573761309032,3.8525195267290417,11.513938898336653
Carside,R-NSGA-II_eps0.01,0,42,28.012795895317872,3.851090703467091,11.514624750712898
